test_id,run_timestamp,pipeline_completed,phase_reached,substep_count,L0_count,L1_count,L2_count,L3_count,L4_count,L5_count,decompose_latency_ms,select_latency_ms,orchestrate_latency_ms,govern_latency_ms,total_agent_latency_ms,schema_validation_pass,estimated_cost_per_run_usd,baseline_L0_cost_usd,baseline_L4_cost_usd,baseline_L5_cost_usd,expert_agreement_pct,confidence_mean,rejections_required,notes
TC-01,2026-04-24T05:06:32Z,1,deployed,14,9,1,0,1,0,0,,,21446,24323,45820,1,0.012,0.0014,0.35,0.7,,96.36,0,
TC-02,2026-04-24T05:06:32Z,1,deployed,13,3,0,0,2,7,0,10050,14617,22790,22311,69855,1,0.067,0.0013,0.325,0.65,,92.62,0,Post FC-01 fix. Pre-fix trace preserved in tc-02-prefix-bug/.
TC-03,2026-04-24T05:06:32Z,1,deployed,9,9,0,0,0,0,0,74473,15149,20680,17737,128240,1,0.001,0.0009,0.225,0.45,,98.56,0,Post FC-01 fix. Pre-fix trace preserved in tc-03-prefix-bug/.
TC-04,2026-04-24T05:06:32Z,1,deployed,10,5,0,3,2,0,0,10829,32844,36155,19149,99177,1,0.018,0.001,0.25,0.5,,87.4,0,Over-confident on vague input: 0 nodes flagged <60% confidence; select summary hallucinates 'customer-support' domain.
TC-05a,2026-04-24T05:06:32Z,1,rejected-400,0,0,0,0,0,0,0,,,,,,1,,0.0,0.0,0.0,,,0,Post FC-04 fix: empty description now returns HTTP 400 before any agent runs. Pre-fix trace in tc-05a-prefix-bug/ (not kept; was a 200 with 11-node fallback).
TC-05b,2026-04-24T05:06:32Z,1,deployed,14,8,5,0,0,0,1,16399,19812,26829,24899,96052,1,0.01,0.0014,0.35,0.7,,97.07,0,
TC-05c,2026-04-24T05:06:32Z,1,deployed,16,13,1,0,2,0,0,14176,29216,52852,62300,160943,1,0.045,0.0016,0.4,0.8,,94.19,0,Post FC-02 fix: token budget 8192 -> 16384 and decomposition cap tightened. Pipeline now completes end-to-end; decomposition consolidated from 22 steps to 16. Pre-fix crash trace in tc-05c-prefix-bug/.
TC-05d,2026-04-24T05:06:32Z,1,deployed,8,2,0,1,5,0,0,4785,10619,11408,13445,40452,1,0.012,0.0008,0.2,0.4,,94.12,0,No guardrail against non-workflow input: generated 8-node 'philosophical response' workflow.
